,Timestamp,Machine Mode,System,exactTripTime
173,2023-06-08 17:22:00,User Time,Unknown,0
174,2023-06-13 08:37:00,Injection,RF,0
175,2023-06-15 08:11:00,Injection,Control,0
176,2023-06-18 08:31:00,Injection,RF,0
177,2023-06-19 08:37:00,Injection,RF,0
178,2023-06-21 08:40:00,Injection,RF,0
179,2023-07-17 08:33:00,Injection,Unknown,0
180,2023-07-20 08:15:00,Injection,Control,0
181,2023-07-21 22:35:00,User Time,Electrical,0
182,2023-07-30 08:31:00,Injection,Unknown,0
183,2023-07-30 21:22:00,User Time,Cooling,0
184,2023-07-31 01:08:00,User Time,Cooling,0
185,2023-08-01 10:27:00,User Time,RF,0
186,2023-08-02 08:39:00,Injection,RF,0
187,2023-09-10 23:03:00,User Time,Cooling,0
188,2023-09-11 08:20:00,Non-Interrupting ,PS,0
189,2023-09-11 16:40:00,User Time,Cooling,0
190,2023-09-12 01:36:00,User Time,Control,0
191,2023-09-12 20:27:00,User Time,Cooling,0
192,2023-09-13 15:43:00,User Time,Cooling,0
193,2023-09-16 20:55:00,User Time,RF,0
194,2023-09-18 09:01:00,Injection,RF,0
195,2023-09-18 09:21:00,Injection,Unknown,0
196,2023-09-20 17:43:00,User Time,Control,0
197,2023-09-21 10:28:00,User Time,PS,0
198,2023-09-23 03:21:00,User Time,Cooling,0
199,2023-09-26 13:20:00,User Time,Cooling,0
200,2023-10-02 22:22:00,User Time,Control,0
201,2023-10-03 06:15:00,User Time,Control,0
202,2023-10-03 19:59:00,User Time,Control,0
203,2023-10-05 04:48:00,User Time,RF,0
204,2023-10-08 15:15:00,User Time,Control,0
205,2023-10-09 09:32:00,User Time,Control,0
206,2023-10-11 09:05:00,User Time,RF,0
207,2023-10-11 10:14:00,User Time,RF,0
208,2023-10-11 10:54:00,User Time,ID,0
209,2023-10-11 09:04:00,Injection,RF,0
210,2023-10-11 10:15:00,Injection,RF,0
211,2023-10-11 10:55:00,Injection,RF,0
212,2023-10-18 09:36:00,User Time,Cooling,0
213,2023-10-19 08:33:00,Injection,RF,0
214,2023-10-22 09:21:00,Injection,Human Error,0
215,2023-10-22 22:41:00,User Time,RF,0
216,2023-10-25 08:35:00,Injection,RF,0
217,2023-11-12 08:34:00,Injection,Human Error,0
218,2023-11-16 08:33:00,Injection,RF,0
219,2023-11-19 08:50:00,Injection,Unknown,0
220,2023-12-03 22:22:00,User Time,RF,0
221,2023-12-05 22:23:00,Injection,PS,0
222,2023-12-10 15:27:00,User Time,Diagnostic,0
223,2023-12-16 15:19:00,User Time,Cooling,0
224,2023-12-22 07:06:00,User Time,RF,0
